id,x,y,prob0,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8,prob9,type
1,0.1360813,0.5327246,0.0,0.0,0.0,0.0,0.16039847,0.0,0.25169763,0.0,0.5804397,0.0,8
2,0.22987907,0.31097806,0.0,0.0,0.0,0.0,0.0,0.15393692,0.7484928,0.0,0.090545714,0.0,6
3,0.5542722,0.4752113,0.0,0.44198444,0.0,0.0,0.0,0.071119145,0.0,0.478138,0.0,0.0,7
4,0.39476734,0.8716995,0.0,0.0,0.0,0.0,0.88754666,0.0,0.0,0.0,0.102805145,0.0,4
5,0.40275002,0.6522306,0.0,0.6472485,0.0,0.06310558,0.28408504,0.0,0.0,0.0,0.0,0.0,1
6,0.53384244,0.30678427,0.0,0.0,0.07919338,0.11179448,0.0,0.70493007,0.0,0.09824881,0.0,0.0,5
7,0.54172415,0.5555067,0.5646807,0.0,0.0,0.0,0.0,0.21637365,0.0,0.0,0.0,0.21226414,0
8,0.4944861,0.47390208,0.0,0.5993723,0.13771814,0.0,0.0,0.17976615,0.07631541,0.0,0.0,0.0,1
9,0.45101324,0.8083088,0.0,0.0,0.0,0.26019102,0.7319463,0.0,0.0,0.0,0.0,0.0,4
10,0.38925654,0.42393404,0.0,0.0,0.0,0.0,0.0,0.0,0.48593876,0.28144312,0.122848935,0.10298081,6
11,0.4123105,0.98366535,0.0,0.0,0.0,0.0,0.99342114,0.0,0.0,0.0,0.0,0.0,4
12,0.109237,0.2266293,0.0,0.0,0.0,0.0,0.0,0.0,0.9909863,0.0,0.0,0.0,6
13,0.28796026,0.36188844,0.0,0.0,0.0,0.0,0.0,0.0,0.608596,0.0,0.06721376,0.31743592,6
14,0.44183767,0.7398959,0.0,0.0,0.0,0.5720835,0.34546223,0.0,0.07448253,0.0,0.0,0.0,3
15,0.22536297,0.29682493,0.0,0.0,0.0,0.0,0.0446595,0.1464848,0.8047435,0.0,0.0,0.0,6
16,0.43925673,0.5499402,0.28268856,0.116626926,0.0,0.33628663,0.0,0.0,0.0,0.079475224,0.18027286,0.0,3
17,0.39030156,0.24991545,0.0,0.0,0.0,0.6119515,0.14257723,0.0,0.0,0.23767209,0.0,0.0,3
18,0.0016664212,0.51863766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99444157,0.0,8
19,0.29263705,0.84750336,0.0,0.0,0.0,0.0,0.7588333,0.0,0.0,0.0,0.0,0.22604254,4
20,0.10098171,0.23082873,0.0,0.0,0.0,0.0,0.0,0.0,0.99172264,0.0,0.0,0.0,6
21,0.519298,0.045920238,0.0,0.0,0.2795253,0.0,0.0,0.0,0.10320065,0.12377573,0.4181793,0.07024752,8
22,0.4511407,0.9315829,0.0,0.0,0.0,0.0,0.988148,0.0,0.0,0.0,0.0,0.0,4
23,0.23523423,0.5275561,0.13207284,0.24768311,0.0,0.0,0.0,0.0,0.0,0.0,0.6054841,0.0,8
24,0.35587388,0.2863812,0.0,0.06285652,0.0,0.6940138,0.0,0.0,0.23718518,0.0,0.0,0.0,3
25,0.5248275,0.44491708,0.0,0.3450264,0.0,0.0,0.0,0.64754784,0.0,0.0,0.0,0.0,5
26,0.43807483,0.48858866,0.0,0.98914003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
27,0.5305263,0.03508461,0.0,0.0,0.39932123,0.0,0.0,0.0,0.0,0.0,0.5930297,0.0,8
28,0.24689007,0.5542202,0.0,0.29487437,0.0,0.0,0.21975249,0.0,0.17330891,0.0,0.30616432,0.0,8
29,0.70602363,0.6388594,0.32982403,0.0,0.0,0.0,0.0,0.0,0.0,0.2366835,0.0,0.429082,9
30,0.44408068,0.85161674,0.0,0.0,0.0,0.06995696,0.92527646,0.0,0.0,0.0,0.0,0.0,4
31,0.11246951,0.35582787,0.0,0.0,0.0,0.0,0.0,0.0,0.63558465,0.0,0.3572076,0.0,6
32,0.64784443,0.368621,0.0,0.0,0.0,0.09340229,0.0,0.6281189,0.0,0.27153835,0.0,0.0,5
33,0.40204492,0.9957634,0.0,0.0,0.0,0.0,0.99483293,0.0,0.0,0.0,0.0,0.0,4
